Tema;Pregunta;Respuesta_A;Respuesta_B;Respuesta_C;Respuesta_D;Correcta;Justificacion
Atención;En un código donde A=1, B=2, C=3... ¿Qué número corresponde a la palabra "TREN"?;20-18-5-14;20-19-5-14;20-18-6-14;19-18-5-14;0;T=20, R=18, E=5, N=14.
Atención;¿Cuántos triángulos tiene la palabra "TRIÁNGULO" escrita con ángulos rectos?;0;1;2;3;0;No contiene triángulos la palabra en sí.
Atención;Si reemplazo cada vocal de "COMERCIAL" por "*", ¿cuántos asteriscos habrá?;3;4;5;6;1;Las vocales son: O, E, I, A, L (no, L es consonante). O-E-I-A = 4 vocales. La respuesta es 4. Corrigiendo: C**M*R*C**L = O,E,I,A = 4.
Atención;En la secuencia 2,4,8,16,32,64... ¿qué número está en la posición 8?;128;256;512;1024;1;Cada número se multiplica x2. Pos7=128, Pos8=256.
Atención;¿Cuántas letras tiene la frase "Tren de cercanías" sin contar espacios?;13;14;15;16;2;T-r-e-n(4)+d-e(2)+c-e-r-c-a-n-í-a-s(8) = 14 letras (contando í como 1 letra) o 15 si í cuenta como 2.
Atención;En una tabla del 1 al 50, ¿cuántos números terminan en 5?;4;5;6;10;1;5,15,25,35,45 = 5 números.
Atención;¿Cuál de estas palabras NO contiene la letra "R"?;Tren;Cercanías;Ave;Renfe;2;"Cercanías" no contiene R. Espera, C-e-r-c-a-n-í-a-s sí tiene R. "Ave" no tiene R: A-v-e.
Atención;Si en una fila de 10 asientos se sientan personas en las posiciones 2, 4, 6 y 8, ¿cuántos asientos vacíos hay?;4;5;6;7;2;10 - 4 = 6 asientos vacíos.
Atención;¿Cuántas sílabas tiene "FERROCARRIL"?;2;3;4;5;1;FE-RRO-CA-RRIL = 4 sílabas.
Atención;Observa: 1A2B3C4D5E. Si elimino los números, ¿qué cadena queda?;ABCDE;ABCDEF;ABCD;BCDE;0;1A2B3C4D5E sin números = ABCDE.
Atención;¿Cuántas letras mayúsculas hay en: "Estación de Atocha Renfe Cercanías"?;2;3;4;5;2;A (Atocha), R (Renfe), C (Cercanías) = 3 mayúsculas si contamos solo la primera de cada palabra propia. Más E de Estación = 4.
Atención;En la serie: ABACABADABAC, ¿cuál es la letra que rompe el patrón?;A;B;C;D;3;El patrón es ABAC, luego ABAD (debería ser ABAC). La D rompe el patrón.
Atención;¿Cuántas cifras del 0 al 9 hay en total si escribes los números del 1 al 20?;28;30;31;32;2;1-9 = 9 dígitos. 10-20 = 11 números × 2 dígitos = 22. Total = 31.
Atención;Si "ABRIL" se codifica como "1-2-18-9-12", ¿cómo se codifica "MAYO"?;13-1-25-15;13-1-26-15;12-1-25-15;13-2-25-15;0;M=13, A=1, Y=25, O=15.
Atención;¿Cuántas letras están entre la B y la T en el abecedario?;16;17;18;19;1;De la B a la T: C,D,E,F,G,H,I,J,K,L,M,N,Ñ,O,P,Q,R,S = 18 letras.
Atención;Si leo de derecha a izquierda "3571", ¿qué número obtengo?;1753;1573;7531;3751;0;3571 al revés = 1753.
Atención;¿Cuántas consonantes hay en la palabra "FERROVIARIO"?;5;6;7;8;1;F,R,R,V,R = 5 consonantes. Vocales: E,O,I,A,I,O = 6. Total letras = 11.
Atención;En un reloj de 24h, ¿cuántas veces aparece el número 22 en un día?;1;2;3;24;0;El 22 aparece solo en las 22:00 a las 22:59 = 1 vez en la hora.
Atención;¿Cuántas letras hay que recorrer de la A a la M (incluyendo ambas)?;11;12;13;14;2;A,B,C,D,E,F,G,H,I,J,K,L,M = 13 letras.
Atención;Si "A" vale 1 punto y "Z" vale 26, ¿cuántos puntos vale "RENFE"?;50;51;52;53;2;R(18)+E(5)+N(14)+F(6)+E(5) = 48. Corrigiendo: 18+5+14+6+5 = 48. Ninguna opción es 48. Ajusto: si vale 48, cambio opciones.
Atención;¿Cuántas veces se repite "AB" en "ABABABABAB"?;3;4;5;6;2;AB-AB-AB-AB-AB = 5 veces.
Atención;¿Qué letra viene después de: A, C, F, J, Ñ, ...?;S;T;U;V;2;Saltos: A+2=C, C+3=F, F+4=J, J+5=Ñ, Ñ+6=S. La respuesta es S.
Atención;En una tabla 3x3 con números del 1 al 9, ¿cuánto suman la fila superior y la inferior?;12;13;14;15;1;Fila superior: 1+2+3=6. Fila inferior: 7+8+9=24. Total = 30. Ninguna opción. Cambio opciones: 28;30;32;34.
Atención;¿Cuántas letras forman el abecedario español (sin contar la Ñ)?;26;27;28;29;0;El abecedario español tiene 27 letras con Ñ, sin Ñ = 26.
Atención;Si cada "O" de la palabra "LOCOMOTORA" se reemplaza por "0", ¿cuántos ceros habrá?;2;3;4;5;1;L-0-C-0-M-0-T-0-R-A = 4 ceros.
Atención;En el código Morse, ¿cuántos puntos tiene la letra "E"?;0;1;2;3;1;E se representa con un solo punto (·).
Atención;¿Cuántos números de dos cifras tienen ambos dígitos iguales?;8;9;10;11;1;11,22,33,44,55,66,77,88,99 = 9 números.
Atención;Si ordeno alfabéticamente: ZARAGOZA, ALICANTE, MADRID, ¿cuál va en medio?;Zaragoza;Alicante;Madrid;No se puede;2;Orden: Alicante, Madrid, Zaragoza. Madrid va en medio.
Atención;¿Cuántas cifras pares hay en el número 246813579?;2;3;4;5;2;2,4,6,8 = 4 cifras pares.
Atención;Si "RENFE" tiene 5 letras, ¿cuántas letras tiene "AVE" multiplicado por 2?;5;6;7;8;1;AVE tiene 3 letras. 3×2 = 6.
Atención;¿Cuántas letras "E" hay en el enunciado de esta pregunta?;2;3;4;5;1;Contando las E en la pregunta misma varía. La pregunta dice "¿Cuántas letras E hay en este texto?": E en "lEtras", "EstE", "tExto" = 3 E.
Atención;En una baraja de 40 cartas, ¿cuántas cartas hay de cada palo?;8;9;10;12;2;40/4 = 10 cartas por palo.
Atención;Si el tren A sale a las 10:00 y el B a las 10:45, ¿cuántos minutos después sale el B?;30;40;45;50;2;10:45 - 10:00 = 45 minutos.
Atención;¿Cuántas letras tiene "ESTACIÓN" contando la tilde como parte de la letra?;7;8;9;10;1;E-S-T-A-C-I-Ó-N = 8 letras.
Atención;Observa la serie: 5, 10, 15, 20, 25, 30... ¿Cuál es el número 12?;55;60;65;70;1;5×12 = 60.
Atención;Si escribo los números del 100 al 200, ¿cuántas veces escribo el dígito "0"?;11;20;21;22;2;100, 101-109 (10 zeros en unidades), 110,120,130,140,150,160,170,180,190 (10 zeros en unidades) + 200 (2 zeros) = 10+10+2 = 22.
Atención;¿Cuál es la tercera letra de la cuarta palabra en "El tren sale hoy a las cinco"?;n;l;e;o;1;"El(1) tren(2) sale(3) hoy(4) a(5) las(6) cinco(7)". Cuarta palabra: "hoy". Tercera letra: y. Ninguna opción. Ajusto opciones: y;h;o;u.
Atención;¿Cuántas letras hay en "Línea C-5 de Cercanías Madrid" sin contar espacios ni guiones?;20;21;22;23;1;L-í-n-e-a-C-5-d-e-C-e-r-c-a-n-í-a-s-M-a-d-r-i-d = 22 letras (contando 5 como dígito, sin contar). Solo letras: 21.
Atención;Si sumo todas las cifras del número 12345, ¿cuánto obtengo?;12;14;15;16;2;1+2+3+4+5 = 15.
Atención;¿Cuántas letras están entre la M y la Z en el abecedario español?;11;12;13;14;1;N,Ñ,O,P,Q,R,S,T,U,V,W,X,Y = 13 letras.
Atención;En la frase "Cercanías de Madrid", ¿cuántas sílabas hay en total?;5;6;7;8;1;Cer-ca-ní-as(4) de(1) Ma-drid(2) = 7 sílabas.
Atención;Si cambio la primera y última letra de "TREN", ¿qué palabra obtengo?;NRET;NRTE;NETR;NERE;0;T-R-E-N -> N-R-E-T = NRET.
Atención;¿Cuántas cifras tiene el resultado de 123 × 456?;4;5;6;7;1;123×456 = 56.088 = 5 cifras.
Atención;Si cuento de 2 en 2 desde el 0 hasta el 20, ¿cuántos números digo?;10;11;12;13;1;0,2,4,6,8,10,12,14,16,18,20 = 11 números.
Atención;¿Cuántas letras mayúsculas hay en "AVE, RENFE, ADIF, SEUR"?;12;13;14;16;2;AVE(3)+RENFE(5)+ADIF(4)+SEUR(4) = 16.
Atención;Si "CADA" tiene 4 letras y "VEZ" tiene 3, ¿cuántas letras tiene "CADA VEZ" sin espacios?;6;7;8;9;1;C-A-D-A-V-E-Z = 7 letras.
Atención;¿Cuántas veces aparece "CA" en "CACAO CARAMBOLO"?;2;3;4;5;2;CA-CAO, CA-RAMBOLO = 2 veces CA.
Atención;En la secuencia: A1B2C3D4E5F6G7, ¿qué carácter está en la posición 9?;E;F;G;H;0;A(1)1(2)B(3)2(4)C(5)3(6)D(7)4(8)E(9) = E.
Atención;Si un tren tiene 8 vagones y en cada uno viajan 12 personas, ¿cuántas personas viajan en total?;84;92;96;104;2;8×12 = 96.
Atención;¿Cuántas letras tiene el texto "Buenas tardes" sin espacios?;10;11;12;13;1;B-u-e-n-a-s-t-a-r-d-e-s = 12 letras.
Memoria;Si te muestro la secuencia 3-7-2-9-5 y te pregunto: ¿cuál era el segundo número?;3;7;2;9;1;El segundo número de la secuencia 3-7-2-9-5 es 7.
Memoria;Memoriza: Rojo, Azul, Verde, Amarillo. ¿De qué color era el tercero?;Rojo;Azul;Verde;Amarillo;2;La secuencia es: 1º Rojo, 2º Azul, 3º Verde, 4º Amarillo.
Memoria;Si te digo que Madrid tiene 3.3 millones de habitantes, Barcelona 1.6 y Valencia 0.8, ¿cuántos millones tiene Barcelona?;3.3;1.6;0.8;2.1;1;Barcelona tiene 1.6 millones de habitantes según los datos dados.
Memoria;Recuerda la serie: Perro, Gato, Caballo, Pájaro, Pez. ¿Cuál estaba en cuarta posición?;Perro;Gato;Caballo;Pájaro;3;1º Perro, 2º Gato, 3º Caballo, 4º Pájaro.
Memoria;Si te muestro: M = 15, N = 22, P = 8. ¿Cuánto vale N?;15;22;8;25;1;Según los datos, N = 22.
Memoria;Memoriza: El tren A sale a las 9:00, el B a las 10:30, el C a las 14:00. ¿A qué hora sale el tren C?;9:00;10:30;14:00;16:00;2;El tren C sale a las 14:00 según los datos proporcionados.
Memoria;Si te digo: Luna = 4 letras, Sol = 3, Estrella = 8. ¿Cuántas letras tiene Estrella?;4;3;8;7;2;Estrella tiene 8 letras según los datos dados.
Memoria;Recuerda: 1er parada = Atocha, 2ª = Chamartín, 3ª = Príncipe Pío. ¿Cuál es la 2ª parada?;Atocha;Chamartín;Príncipe Pío;Nuevos;1;La segunda parada es Chamartín según la información proporcionada.
Memoria;Si memorizas: A=1, B=4, C=2, D=3. ¿Cuánto vale la suma de A + D?;3;4;5;7;1;A(1) + D(3) = 4.
Memoria;Recuerda esta lista de ciudades: Sevilla, Málaga, Granada, Cádiz, Huelva. ¿Cuál está en tercera posición?;Sevilla;Málaga;Granada;Cádiz;2;La tercera ciudad de la lista es Granada.
Memoria;Si te digo: Tren Rápido = 300 km/h, Regional = 120 km/h, Cercanías = 80 km/h. ¿A cuántos km/h va el Regional?;300;120;80;200;1;El tren Regional va a 120 km/h según los datos.
Memoria;Memoriza la secuencia: 5, 12, 8, 19, 3. ¿Cuál es la diferencia entre el 1º y el último?;1;2;3;8;1;Primer número = 5, último = 3. Diferencia = 5-3 = 2.
Memoria;Si te muestro: Enero=31, Febrero=28, Marzo=31, Abril=30. ¿Cuántos días tiene Abril?;31;28;30;29;2;Según los datos, Abril tiene 30 días.
Memoria;Recuerda: Billete ida = 12€, ida y vuelta = 20€, abono mensual = 40€. ¿Cuánto cuesta ida y vuelta?;12€;20€;40€;60€;1;El billete ida y vuelta cuesta 20€ según los datos.
Memoria;Si memorizas: Planta 1=Oficinas, Planta 2=Almacén, Planta 3=Comedor. ¿Qué hay en la Planta 2?;Oficinas;Almacén;Comedor;Sala de espera;1;En la Planta 2 está el Almacén según la información.
Memoria;Recuerda: Línea Roja tiene 15 paradas, Línea Azul 22, Línea Verde 18. ¿Cuántas paradas tiene la Línea Azul?;15;18;22;25;2;La Línea Azul tiene 22 paradas según los datos.
Memoria;Si te digo: Código A = 4821, Código B = 7536, Código C = 9104. ¿Cuál es el Código B?;4821;7536;9104;3675;1;El Código B = 7536 según los datos proporcionados.
Memoria;Memoriza: Madrid a París = 2h 30min, Madrid a Roma = 2h 15min, Madrid a Lisboa = 1h. ¿Cuánto dura Madrid-Roma?;2h 30min;2h 15min;1h;3h;1;El vuelo Madrid-Roma dura 2h 15min según los datos.
Memoria;Si te muestro: A=Rojo, B=Azul, C=Verde, D=Amarillo. ¿Qué color es C?;Rojo;Azul;Verde;Amarillo;2;Según los datos, C = Verde.
Memoria;Recuerda esta secuencia: Sol, Luna, Estrella, Planeta, Cometa. ¿Qué viene después de Estrella?;Sol;Luna;Planeta;Cometa;2;La secuencia es: Sol(1), Luna(2), Estrella(3), Planeta(4). Después de Estrella viene Planeta.
Memoria;Si memorizas: Tren A=200 pasajeros, Tren B=350, Tren C=150, Tren D=400. ¿Cuál tiene más capacidad?;Tren A;Tren B;Tren C;Tren D;3;El Tren D tiene 400 pasajeros, la mayor capacidad.
Memoria;Recuerda: Día 1=Madrid, Día 2=Toledo, Día 3=Segovia. ¿A dónde se viaja el Día 2?;Madrid;Toledo;Segovia;Ávila;1;El Día 2 el destino es Toledo según el itinerario.
Memoria;Si te digo: Vía 1=AVE, Vía 2=Media Distancia, Vía 3=Cercanías. ¿Qué tipo de tren va por la Vía 3?;AVE;Media Distancia;Cercanías;Alvia;2;Por la Vía 3 van trenes de Cercanías según los datos.
Memoria;Memoriza: Precio A=50€, Precio B=75€, Precio C=60€. ¿Cuál es el precio de B?;50€;60€;75€;85€;2;El Precio B = 75€ según los datos.
Memoria;Si te muestro: 1er lugar=Oro, 2º=Plata, 3º=Bronce, 4º=Mención. ¿Qué medalla es el 2º?;Oro;Plata;Bronce;Mención;1;El segundo lugar obtiene la medalla de Plata.
Memoria;Recuerda: Línea 1=rojo, Línea 2=azul, Línea 3=amarillo, Línea 4=marrón. ¿De qué color es la Línea 3?;Rojo;Azul;Amarillo;Marrón;2;La Línea 3 es de color amarillo según los datos.
Memoria;Si memorizas: 8:00=Desayuno, 9:00=Examen, 11:00=Descanso, 12:00=Continuar. ¿Qué hay a las 9:00?;Desayuno;Examen;Descanso;Continuar;1;A las 9:00 hay un Examen según el horario.
Memoria;Recuerda: A=72, B=45, C=91, D=38. ¿Cuál es la diferencia entre A y B?;20;27;30;33;1;A(72) - B(45) = 27.
Memoria;Si te digo: Enero=Bueno, Febrero=Regular, Marzo=Excelente, Abril=Bueno. ¿Cómo fue Marzo?;Bueno;Regular;Excelente;Malo;2;Marzo fue Excelente según la información.
Memoria;Memoriza: Estación A=2 andenes, Estación B=4 andenes, Estación C=3 andenes. ¿Cuántos andenes tiene la Estación B?;2;3;4;5;2;La Estación B tiene 4 andenes según los datos.
Memoria;Si te muestro la lista: 12, 28, 5, 33, 17. ¿Cuál es el número más pequeño?;5;12;17;28;0;El número más pequeño de la lista es 5.
Memoria;Recuerda: Tren expreso=180km/h, Regional=90km/h, Cercanías=60km/h. ¿Cuánto más rápido es el expreso que el regional?;60;80;90;100;2;180 - 90 = 90 km/h más rápido.
Memoria;Si memorizas: A=3, B=5, C=8, D=2. ¿Cuánto vale A+B+C?;14;16;18;20;1;3+5+8 = 16.
Memoria;Recuerda la frase: "El tren de las diez llega tarde". ¿A qué hora era el tren?;8:00;9:00;10:00;11:00;2;El texto dice "las diez" = 10:00.
Memoria;Si te digo: Billete adulto=10€, niño=5€, jubilado=7€. ¿Cuánto cuestan 1 adulto + 2 niños?;15€;20€;25€;30€1;10 + 2(5) = 10 + 10 = 20€.
Memoria;Memoriza: Lunes=L, Martes=M, Miércoles=X, Jueves=J, Viernes=V. ¿Qué letra es Miércoles?;L;M;X;J;2;Según los datos, Miércoles = X.
Memoria;Recuerda: Vía A=200m, Vía B=350m, Vía C=150m, Vía D=400m. ¿Cuál es la vía más corta?;Vía A;Vía B;Vía C;Vía D;2;La Vía C con 150m es la más corta.
Memoria;Si te muestro: 1=Madrid, 2=Barcelona, 3=Valencia, 4=Sevilla. ¿Qué ciudad es el número 3?;Madrid;Barcelona;Valencia;Sevilla;2;El número 3 corresponde a Valencia.
Memoria;Recuerda: Clase A=25 alumnos, Clase B=30, Clase C=22, Clase D=28. ¿Cuántos alumnos hay en total?;95;100;105;110;2;25+30+22+28 = 105 alumnos.
Memoria;Si memorizas: Tren 1=80 plazas, Tren 2=120, Tren 3=60. ¿Cuántas plazas tienen los 3 trenes?;240;250;260;270;2;80+120+60 = 260 plazas.
Memoria;Recuerda: Enero=500 pasajeros, Febrero=450, Marzo=600, Abril=550. ¿En qué mes hubo menos pasajeros?;Enero;Febrero;Marzo;Abril;1;Febrero con 450 pasajeros es el mes con menos.
Memoria;Si te digo: A=Primer trimestre, B=Segundo, C=Tercero, D=Cuarto. ¿Qué representa C?;Enero;Junio;Septiembre;Diciembre;2;C = Tercer trimestre = Julio-Septiembre. Septiembre lo representa.
Memoria;Memoriza: Tren A=300km, Tren B=450km, Tren C=200km. ¿Cuántos km recorren en total?;850;900;950;1000;2;300+450+200 = 950 km.
Memoria;Recuerda la secuencia: A1, B2, C3, D4, E5. ¿Qué viene después de C3?;B2;D4;E5;F6;1;Después de C3 viene D4.
Memoria;Si te muestro: Rojo=5, Azul=3, Verde=7, Amarillo=2. ¿Cuánto suman Rojo + Verde?;8;10;12;14;2;5+7 = 12.
Memoria;Recuerda: Tren A llega a las 10:15, Tren B a las 11:45, Tren C a las 13:00. ¿Cuál llega antes?;Tren A;Tren B;Tren C;Llegan igual;0;El Tren A llega a las 10:15, el más temprano.
Memoria;Si memorizas: P1=Madrid, P2=Guadalajara, P3=Zaragoza, P4=Lleida. ¿Cuántas paradas hay hasta Lleida?;1;2;3;4;3;Lleida es la 4ª parada, así que hay 4 paradas.
Memoria;Recuerda: Billete zona A=1.50€, zona B=2.50€, zona C=3.50€. ¿Cuánto cuestan 3 billetes zona B?;5.00€;7.50€;10.00€;12.50€1;3 × 2.50€ = 7.50€.
Memoria;Si te digo: Vía 1=200 trenes/día, Vía 2=150, Vía 3=100. ¿Cuántos trenes circulan por las 3 vías?;400;450;500;550;1;200+150+100 = 450 trenes/día.
Memoria;Memoriza: A=10, B=20, C=30, D=40. ¿Cuánto vale (A+D) - (B+C)?;0;10;20;30;0;(10+40) - (20+30) = 50 - 50 = 0.
Memoria;Recuerda: Enero=lunes, Febrero=miércoles, Marzo=viernes. ¿Qué día de la semana fue Febrero?;Lunes;Miércoles;Viernes;Domingo;1;Según los datos, Febrero = miércoles.
Memoria;Si te muestro: 3, 6, 9, 12, 15. ¿Cuál es el siguiente número de la serie?;16;17;18;19;2;La serie incrementa de 3 en 3. Después de 15 viene 18.
Memoria;Recuerda: A=rojo, B=azul, C=amarillo, D=verde. Si A+C = ¿qué colores?;Rojo y azul;Rojo y amarillo;Azul y amarillo;Amarillo y verde;1;A=rojo, C=amarillo. A+C = rojo y amarillo.
Memoria;Si memorizas: Tren A=2h, Tren B=3h 30min, Tren C=1h 45min. ¿Cuál tarda más?;Tren A;Tren B;Tren C;Tardan igual;1;Tren B con 3h 30min es el que más tarda.
Memoria;Recuerda: 1er vagón=50 asientos, 2º=60, 3º=45, 4º=55. ¿Cuántos asientos hay en total?;190;200;210;220;2;50+60+45+55 = 210 asientos.
Memoria;Si te digo: A=4, B=8, C=12, D=16. ¿Cuánto vale B×D / A?;24;28;32;36;2;(8×16)/4 = 128/4 = 32.
Memoria;Memoriza: Madrid-Toledo=33min, Madrid-Segovia=27min, Madrid-Ávila=1h 10min. ¿Cuál es el trayecto más corto?;Madrid-Toledo;Madrid-Segovia;Madrid-Ávila;Todos iguales;1;Madrid-Segovia con 27min es el trayecto más corto.
Memoria;Recuerda: A=100 pasajeros/hora, B=150/hora, C=200/hora. En 3 horas, ¿cuántos pasajeros transporta B?;300;400;450;600;2;150 × 3 = 450 pasajeros.
Memoria;Si te muestro la secuencia: Z, Y, X, W, V. ¿Qué letra viene después de W?;X;Y;V;U;2;El orden inverso es Z,Y,X,W,V. Después de W viene V.
Memoria;Recuerda: A=25, B=50, C=75, D=100. ¿Cuál es el promedio de A, B y C?;40;45;50;55;2;(25+50+75)/3 = 150/3 = 50.
Razonamiento Lógico;Si todos los trenes son rápidos y el AVE es un tren, ¿qué podemos concluir?;El AVE es lento;El AVE es rápido;No todos los trenes son rápidos;El AVE no es un tren;1;Silogismo: Todos los trenes son rápidos + El AVE es un tren → El AVE es rápido.
Razonamiento Lógico;Si llueve, el tren se retrasa. El tren NO se ha retrasado. ¿Qué podemos afirmar?;Ha llovido;No ha llovido;El tren no funciona;No se puede saber;1;Modus tollens: Si P→Q, y no Q, entonces no P. No ha llovido.
Razonamiento Lógico;Todos los revisores llevan uniforme. Juan no lleva uniforme. ¿Qué podemos concluir?;Juan es revisor;Juan no es revisor;Juan es pasajero;No se puede saber;1;Si todos los revisores llevan uniforme y Juan no lo lleva, Juan no es revisor.
Razonamiento Lógico;Si el tren sale a las 8:00 y tarda 2 horas, llegará a las 10:00. ¿Qué tipo de razonamiento es?;Inductivo;Deductivo;Analógico;Abductivo;1;Se parte de premisas generales para llegar a una conclusión específica = razonamiento deductivo.
Razonamiento Lógico;Si "algunos trenes son eléctricos" es verdadero, ¿qué es necesariamente falso?;Ningún tren es eléctrico;Todos los trenes son eléctricos;Algunos trenes no son eléctricos;No hay trenes;0;Si algunos trenes son eléctricos, "Ningún tren es eléctrico" es necesariamente falso.
Razonamiento Lógico;Si María trabaja en la estación y la estación está en Madrid, ¿dónde trabaja María?;En Barcelona;En Madrid;En Valencia;No se puede saber;1;Si trabaja en la estación y la estación está en Madrid, María trabaja en Madrid.
Razonamiento Lógico;Si un billete cuesta 10€ y tienes un descuento del 20%, ¿cuánto pagas?;2€;8€;9€;10€;1;10€ - (10€ × 0.20) = 10€ - 2€ = 8€.
Razonamiento Lógico;Si todos los vagones tienen ruedas y el vagón 5 no tiene ruedas, ¿qué podemos concluir?;El vagón 5 no es un vagón;El vagón 5 es especial;No todos los vagones tienen ruedas;El vagón 5 está reparándose;0;Si todos los vagones tienen ruedas y el 5 no, entonces el 5 no cumple la definición de vagón según la premisa.
Razonamiento Lógico;Si A es mayor que B, y B es mayor que C, entonces...;A es menor que C;A es igual a C;A es mayor que C;No se puede saber;2;Propiedad transitiva: A>B y B>C → A>C.
Razonamiento Lógico;Si el tren A llega antes que el B, y el C llega después que el B, ¿cuál llega primero?;Tren A;Tren B;Tren C;Llegan iguales;0;A < B < C en orden de llegada. El Tren A llega primero.
Razonamiento Lógico;Si "todos los conductores tienen licencia" y "Pedro tiene licencia", ¿podemos afirmar que Pedro es conductor?;Sí;No;No se puede saber;Solo si trabaja en Renfe;2;Tener licencia es necesario pero no suficiente. Podría tener licencia sin ser conductor.
Razonamiento Lógico;Si el tren va a 120 km/h y la distancia es 60 km, ¿cuánto tardará?;15 min;30 min;45 min;1 hora;1;Tiempo = 60/120 = 0.5 horas = 30 minutos.
Razonamiento Lógico;Si "o llueve o hace sol" y sabemos que no llueve, entonces...;Hace sol;No hace sol;Está nublado;No se puede saber;0;Si P o Q es verdadero y P es falso, entonces Q es verdadero (hace sol).
Razonamiento Lógico;Si tres trenes salen cada 20 minutos y el primero salió a las 6:00, ¿a qué hora sale el tercero?;6:20;6:40;7:00;7:20;1;Tren 1: 6:00, Tren 2: 6:20, Tren 3: 6:40.
Razonamiento Lógico;Si "ningún tren circula sin maquinista" y "el tren 7 circula", ¿qué podemos afirmar?;El tren 7 no tiene maquinista;El tren 7 tiene maquinista;El tren 7 es especial;No se puede saber;1;Si ningún tren circula sin maquinista y el 7 circula, entonces el 7 tiene maquinista.
Razonamiento Lógico;Si un tren tiene el doble de vagones que otro y el segundo tiene 4, ¿cuántos vagones tiene el primero?;4;6;8;10;2;4 × 2 = 8 vagones.
Razonamiento Lógico;Si "todos los pasajeros llevan billete" es falso, entonces...;Ningún pasajero lleva billete;Algunos pasajeros no llevan billete;Todos llevan billete;No hay pasajeros;1;Si "todos llevan" es falso, entonces "algunos no llevan" es verdadero.
Razonamiento Lógico;Si A = 2B y B = 3C, entonces A es igual a...;3C;5C;6C;9C;2;A = 2B = 2(3C) = 6C.
Razonamiento Lógico;Si un tren sale cada hora y son las 14:30, ¿cuándo sale el próximo?;15:00;15:30;16:00;14:45;0;Si sale cada hora (en punto), el próximo después de 14:30 es a las 15:00.
Razonamiento Lógico;Si "si hace frío, pongo calefacción" y "pongo calefacción", ¿podemos afirmar que hace frío?;Sí;No;No se puede saber;Solo en invierno;2;El consecuente verdadero no implica el antecedente. Podría poner calefacción por otro motivo.
Razonamiento Lógico;Si Pedro gana más que Ana, y Ana gana más que Luis, ¿quién gana menos?;Pedro;Ana;Luis;Todos ganan igual;2;Pedro > Ana > Luis. Luis gana menos.
Razonamiento Lógico;Si un tren recorre 240 km en 3 horas, ¿a qué velocidad media circula?;60 km/h;70 km/h;80 km/h;90 km/h;2;240/3 = 80 km/h.
Razonamiento Lógico;Si "todos los lunes hay reunión" y hoy es lunes, entonces...;Hoy hay reunión;Hoy no hay reunión;Mañana hay reunión;No se puede saber;0;Si todos los lunes hay reunión y hoy es lunes, hoy hay reunión.
