Tema;Pregunta;Respuesta_A;Respuesta_B;Respuesta_C;Respuesta_D;Correcta;Justificacion
Actividad Comercial;¿Qué sucede si un cliente procede de una estación con venta de billetes cerrada temporalmente y sube al tren?;Se le cobra un recargo del 50%.;Debe abonar el importe del billete a Tarifa General/Base o precio de referencia sin recargo.;Se le expulsa del tren en la siguiente parada.;Se le multa con 100 euros obligatoriamente.;1;Título IV, Capítulo 2.1.1
Actividad Comercial;¿Quién es responsable de que una mascota cumpla las condiciones higiénico-sanitarias y de seguridad?;El personal de intervención del tren.;La empresa de limpieza contratada por Renfe.;La persona que viaje con la mascota.;El servicio de seguridad de la estación de origen.;2;Título V, Capítulo 1
Actividad Comercial;¿Hasta qué momento debe conservar el viajero el título de transporte?;Hasta que el revisor pase por primera vez.;Hasta que baje del coche del tren.;Desde la entrada en la estación de origen hasta la salida de la estación de destino.;Durante 15 días naturales tras el viaje.;2;Título III, Capítulo 1
Actividad Comercial;¿Dónde se encuentra el domicilio social de Renfe Viajeros SME, S.A.?;Madrid, Paseo de la Castellana 67.;Madrid, Avenida de Pío XII, nº 110.;Barcelona, Estación de Sants.;Sevilla, Estación de Santa Justa.;1;Anexo I
Actividad Comercial;¿Qué tipo de producto es AVLO?;Un tren nocturno de lujo.;Producto de Alta Velocidad-Larga Distancia con precios económicos.;Un servicio de Media Distancia para zonas rurales.;Un autobús lanzadera conectado a la estación.;1;Normativa Comercial AVLO (T.E. 7 I.1)
Actividad Comercial;¿En qué clase se comercializa el producto AVLO?;Clases Turista y Preferente.;Clases Estándar y Confort.;Clase Básica.;Clase Business única.;2;Normativa Comercial AVLO (T.E. 7 I.1)
Actividad Comercial;¿Cuál es el periodo de venta anticipada general para servicios AVLO?;3 meses.;6 meses.;12 meses.;24 meses.;2;Normativa Comercial AVLO (Gama Tarifaria)
Actividad Comercial;¿Qué porcentaje de gastos de gestión se aplica en las taquillas para billetes AVLO?;0%.;3,5%.;5,5%.;10%.;2;Normativa Comercial AVLO (Gastos de Gestión)
Actividad Comercial;¿Qué porcentaje de gastos de gestión se aplica en la App Renfe para AVLO?;3,5%.;5,5%.;0%.;1,5%.;2;Normativa Comercial AVLO (Gastos de Gestión)
Actividad Comercial;¿Qué particularidad tienen los billetes AVLO respecto a la titularidad?;Son billetes al portador.;Son nominativos.;Solo requieren nombre en grupos de más de 10.;Son transferibles mediante la App.;1;Normativa Comercial AVLO (Facsímil Billete)
Actividad Comercial;En AVLO, ¿cuándo finaliza el proceso de cierre de acceso al tren?;10 minutos antes de la salida.;5 minutos antes de la salida.;2 minutos antes de la salida.;En el momento exacto de la salida.;2;Normativa Comercial AVLO (Facsímil / Condiciones)
Actividad Comercial;¿Cuál es el peso máximo permitido para la suma de los 3 bultos de mano en viajes de grupo en AVLO?;15 kg.;20 kg.;25 kg.;30 kg.;2;Normativa Comercial AVLO (Equipajes)
Actividad Comercial;¿Qué descuento aplica la Tarjeta Ferroviaria para viajes de ocio en AVLO sobre la tarifa Básica?;15%.;25%.;30%.;50%.;2;Normativa Comercial AVLO (Tarifa Ferroviaria)
Actividad Comercial;¿Cuál es el código de tarifa AVLO para el Convenio con el Ministerio de Defensa (Organismo)?;AVLO-DEF.;LC177: Básica Organismo.;BORG-01.;T.E. 2-III.;1;Normativa Comercial AVLO (Convenios)
Actividad Comercial;¿Qué incluye el equipaje gratuito en AVLO?;2 maletas de 25kg cada una.;1 bolso de mano/mochila (27x36x25cm) + 1 maleta de cabina (55x35x25cm).;Solo un bolso de mano de dimensiones reducidas.;Maleta de cabina y derecho a transporte de bicicleta sin funda.;1;Normativa Comercial AVLO (Equipajes)
Actividad Comercial;¿Quién puede solicitar la Tarjeta Más Renfe?;Solo mayores de 18 años.;Cualquier persona mayor de 14 años.;Únicamente ciudadanos con nacionalidad española.;Empresas para sus empleados exclusivamente.;1;Programa de Fidelización Más Renfe
Actividad Comercial;¿Qué coste tiene la solicitud de la Tarjeta Más Renfe?;6 euros anuales.;10 euros por emisión.;Es totalmente gratuita.;Requiere un primer viaje de más de 50 euros.;2;Programa de Fidelización Más Renfe
Actividad Comercial;¿Cuáles son los niveles de la Tarjeta Más Renfe?;Bronce, Plata, Oro, Platino.;Clásica, Plata, Oro, Platino.;Estándar, Plus, Premium, VIP.;Básica, Plata, Oro, Diamante.;1;Programa de Fidelización Más Renfe
Actividad Comercial;¿A partir de qué momento el titular puede disponer de sus Puntos Renfe tras realizar un viaje?;Inmediatamente tras la compra.;A las 24 horas del viaje.;A las 48 horas de haber efectuado el viaje.;Al finalizar el mes natural.;2;Programa de Fidelización Más Renfe
Actividad Comercial;¿Cuándo caducan los Puntos Renfe de un titular nivel Platino?;A los 3 años.;Al finalizar el año natural.;No caducan mientras el titular permanezca en dicho nivel.;A los 5 años.;2;Programa de Fidelización Más Renfe (Anexo 1)
Actividad Comercial;¿Qué porcentaje de obtención de puntos tiene un titular Más Renfe Oro en AVE?;3%.;4%.;5%.;8%.;2;Programa de Fidelización Más Renfe (Anexo 1)
Actividad Comercial;"¿Para qué edades está disponible el servicio de ""Viaje de menores sin acompañante""?";De 4 a 12 años.;De 6 a 13 años inclusive.;De 5 a 14 años.;Solo para mayores de 14 años.;1;Viaje de menores sin acompañante (Normativa)
Actividad Comercial;¿Con qué antelación mínima debe adquirirse el billete para un menor sin acompañante?;24 horas.;48 horas.;72 horas.;Hasta 2 horas antes de la salida.;1;Viaje de menores sin acompañante (Normativa)
Actividad Comercial;¿Qué opciones de precio permiten contratar el servicio de menores sin acompañante?;Básico y Elige.;Solo Premium.;Elige Confort o Premium.;Cualquier tarifa de trenes de Larga Distancia.;2;Viaje de menores sin acompañante (Adquisición)
Actividad Comercial;¿Cuál es el precio anual de la Tarjeta Más Renfe Joven?;25 euros.;30 euros.;50 euros.;Es gratuita.;2;Tarjeta Más Renfe Joven (Facsímil)
Actividad Comercial;¿Qué descuento ofrece la Tarjeta Más Renfe Joven en trenes AVE y Larga Distancia?;25% sobre cualquier precio.;30% sobre el mejor precio disponible.;50% de lunes a jueves.;10% adicional a Familia Numerosa.;1;Tarjeta Más Renfe Joven (Anexo 2)
Actividad Comercial;¿Cuál es la validez de la Tarjeta Más Renfe Joven?;6 meses.;1 año.;2 años.;Hasta que el titular cumpla 26 años.;1;Tarjeta Más Renfe Joven (Facsímil)
Actividad Comercial;¿Qué periodo de validez tiene el Abono Único tras su fecha de inicio?;15 días naturales.;30 días naturales.;3 meses naturales.;1 mes natural (del 1 al 31).;1;Abono Único (T.E. 2 III.5)
Actividad Comercial;¿Cuál es el precio del Abono Único Normal?;30 euros.;45 euros.;60 euros.;90 euros.;2;Abono Único (Resumen Normativa)
Actividad Comercial;¿Qué sanción aplica Renfe a un titular de Abono Único tras 3 usos indebidos (no viajar ni cancelar)?;Multa de 100 euros.;Anulación del abono sin reintegro y prohibición de sacar uno nuevo en 60 días.;Retirada de la Tarjeta Dorada.;Pérdida de 500 Puntos Renfe.;1;Abono Único (Formalización o Validación)
Actividad Comercial;¿Cuál es el número máximo de formalizaciones diarias activas para el Abono Único?;2 formalizaciones.;4 formalizaciones.;6 formalizaciones.;Sin límite diario.;1;Abono Único (Formalización o Validación)
Actividad Comercial;¿Con qué antelación mínima debe cancelarse un viaje formalizado con Abono Único para evitar el uso indebido?;30 minutos.;60 minutos.;2 horas.;24 horas.;1;Abono Único (Formalización o Validación)
Actividad Comercial;El Abono Pase Vía es una suscripción dirigida a viajeros de qué servicio:;Cercanías.;AVE Internacional.;Avant.;Trenes Turísticos.;2;Abono Pase Vía (T.E. 4 III.5)
Actividad Comercial;¿Cuál es el descuento inicial del Abono Pase Vía sobre la Tarifa Avant?;25%.;30%.;45%.;50%.;2;Abono Pase Vía (Descripción)
Actividad Comercial;¿Cuántas reservas activas al día permite el Abono Pase Vía?;2 reservas.;4 reservas.;6 reservas.;Ilimitadas.;1;Abono Pase Vía (Condiciones de Utilización)
Actividad Comercial;¿En qué servicios NO está incluido el acuerdo AJC (Agreement concerning Journey Continuation)?;AVE.;Alvia.;Cercanías, Media Distancia Convencional y Avant.;Euromed e Intercity.;2;Acuerdo AJC (T.E. 1 I.3.2)
Actividad Comercial;¿Cuál es el tiempo mínimo de conexión exigido entre trenes en la misma estación para el acuerdo AJC?;15 minutos.;20 minutos.;30 minutos.;45 minutos.;2;Acuerdo AJC (Emisión del Justificante)
Actividad Comercial;¿Y si la conexión es entre diferentes estaciones de la misma localidad para el AJC?;30 minutos.;45 minutos.;60 minutos.;90 minutos.;1;Acuerdo AJC (Emisión del Justificante)
Actividad Comercial;¿Qué validez tiene el Spain Rail Pass desde su adquisición?;3 meses.;6 meses.;11 meses.;12 meses.;1;Spain Rail Pass (Facsímil Anexo 2)
Actividad Comercial;¿Qué retraso en AVE da derecho a una indemnización del 100% del billete (criterio general)?;Superior a 30 minutos.;Igual o superior a 60 minutos.;Superior a 90 minutos.;Solo si el tren se cancela.;2;Condiciones Posventa (T.E. 1 III.3.1)
Actividad Comercial;¿Qué indemnización corresponde por un retraso de 65 minutos en un tren Alvia?;25%.;50%.;75%.;100%.;1;Condiciones Posventa (T.E. 1 III.3.1)
Actividad Comercial;En un tren Avant, ¿qué indemnización corresponde por un retraso superior a 30 minutos?;25%.;50%.;75%.;100%.;1;Condiciones Posventa (T.E. 1 III.3.1)
Actividad Comercial;¿Qué incremento se aplica si la indemnización en servicios comerciales se cobra en Puntos Renfe?;25%.;50%.;100%.;150%.;2;Condiciones Posventa (T.E. 1 III.3.1)
Actividad Comercial;¿Qué porcentaje de devolución corresponde por la ausencia de cafetería en un tren AVE?;5%.;10%.;20%.;No corresponde indemnización.;1;Condiciones Posventa (Servicios Comerciales Diurnos)
Actividad Comercial;¿Y por la ausencia total de climatización en un tren Alvia?;25%.;50%.;100%.;10%.;2;Condiciones Posventa (Servicios Comerciales Diurnos)
Actividad Comercial;¿Cuál es el plazo máximo para solicitar la indemnización en Puntos Renfe tras el viaje?;1 mes.;3 meses.;6 meses.;12 meses.;1;Condiciones Posventa (T.E. 1 III.3.1)
Actividad Comercial;"¿En qué núcleo de Cercanías se aplica la ""Devolución Exprés"" por retrasos superiores a 15 minutos?";Madrid.;Barcelona (Rodalies).;Valencia.;Ambas B y C son correctas.;3;Condiciones Posventa (T.E. 1 III.3.1)
Actividad Comercial;¿Cuál es el precio de la Tarjeta Dorada para una validez de 1 año?;Gratuita.;3 euros.;6 euros.;12 euros.;2;Tarjeta Dorada (Facsímil)
Actividad Comercial;¿Qué descuento aplica la Tarjeta Dorada en trenes AVE todos los días de la semana?;25%.;40%.;50%.;10% adicional.;0;Tarjeta Dorada (Resumen Normativa)
Actividad Comercial;¿Qué descuento tiene la Tarjeta Dorada en servicios Avant de viernes a domingo?;40%.;50%.;25%.;No tiene descuento los fines de semana.;2;Tarjeta Dorada (Resumen Normativa)
Actividad Comercial;¿Cuál es el precio fijo de un billete para acompañante de Tarjeta Dorada (en plaza H) en servicios comerciales?;3 euros.;5 euros.;7 euros.;10 euros.;2;Tarjeta Dorada (Condiciones)
Actividad Comercial;¿Qué edad mínima se requiere para adquirir la Tarjeta Dorada por razón de edad?;60 años.;65 años.;67 años.;55 años.;0;Tarjeta Dorada (Normativa)
Actividad Comercial;¿Cuál es el descuento de la Tarjeta Dorada en Media Distancia Convencional?;25%.;40%.;50%.;Variable según antelación.;1;Tarjeta Dorada (Resumen Normativa)
Actividad Comercial;En el programa AJC, ¿qué plazo máximo tiene el personal para emitir el nuevo billete de continuidad tras la solicitud?;1 hora.;3 horas.;6 horas.;24 horas.;1;Acuerdo AJC (Emisión Billete Continuidad)
Actividad Comercial;"¿Cuál es el máximo de billetes de ""niño"" acompañantes a precio 0 que permite el Spain Rail Pass?";Uno.;Dos.;Tres.;No permite niños gratis.;1;Spain Rail Pass (Procedimiento Venta)
Actividad Comercial;¿Cuál es la indemnización por ausencia de restauración en plaza en opción Premium de AVE?;10%.;20%.;50%.;100%.;1;Condiciones Posventa (Servicios Comerciales Diurnos)
Actividad Comercial;¿Qué norma europea sobre derechos y obligaciones de los viajeros ferroviarios es la base legal de la posventa?;Reglamento (UE) 2016/797.;Reglamento (CE) 1370/2007.;Reglamento (UE) 2021/782.;Directiva 2012/34/UE.;2;Condiciones Posventa (T.E. 1 III.3.1)
Actividad Comercial;¿Qué retraso en AVE Internacional (tramo español) da derecho al 25% de indemnización?;Superior a 15 minutos.;A partir de 30 minutos.;A partir de 60 minutos.;No existe el tramo del 25%.;1;Condiciones Posventa (T.E. 1 III.3.1)
Actividad Comercial;¿Cuándo entra en vigor la normativa actual de Condiciones Posventa reflejada en el PDF?;01/01/2024.;15/07/2025.;02/12/2025.;10/03/2026.;1;Condiciones Posventa (Vigencia)
Actividad Comercial;¿Es posible anular un billete de Abono Único tras su emisión por el viajero?;Sí, con un 15% de gastos.;Sí, hasta 2 horas antes de la salida.;No se admiten anulaciones ni cambios (salvo error del operador en el momento).;Solo si se cambia por otro abono de mayor precio.;2;Abono Único (Anulación y Cambios)
Actividad Comercial;"¿Qué requisito es indispensable para solicitar la ""Devolución Exprés"" en Cercanías?";Presentar el DNI original.;Validación previa al acceso y a la salida en la estación de destino.;Que el retraso sea superior a 60 minutos.;Haber pagado con tarjeta bancaria.;1;Condiciones Posventa (T.E. 1 III.3.1)
Actividad Comercial;En el Abono Pase Vía, ¿cuándo se efectúa el cobro de cada viaje realizado?;Al comprar el abono (prepago).;En la fecha en la que se realiza cada viaje.;Al finalizar el trimestre.;Mediante factura mensual enviada al domicilio.;1;Abono Pase Vía (Descripción)
Actividad Comercial;¿Qué descuento adicional se aplica sobre los precios del Pase Vía conforme al RDL 17/2025?;10%.;30%.;50%.;75%.;2;Abono Pase Vía (Anexo 1)
Actividad Comercial;¿Cuál es el código de tarifa para formalizar el Abono Único a precio 0 en el sistema SIVER?;Tarifa 100.;Tarifa 379.;Tarifa 500.;Tarifa 970.;1;Abono Único (Formalización)
Actividad Comercial;¿A qué distancia del plano de rodadura se mide el ancho de vía (en el bloque ferroviario pero citado en comercial)?;10 mm.;14 mm.;15 mm.;Al nivel exacto de la superficie.;1;Conocimientos Básicos Ferroviarios (Vía)
Actividad Comercial;¿Qué porcentaje de indemnización corresponde por un retraso de 60 minutos y 1 segundo en AVLO?;25%.;50%.;100%.;No tiene compromiso de puntualidad.;1;Condiciones Posventa (T.E. 1 III.3.1)
Actividad Comercial;¿Cuál es el descuento de Tarjeta Dorada en trenes de ancho métrico (Cercanías y MD)?;25%.;40%.;50%.;75%.;2;Tarjeta Dorada (Resumen Normativa)
Actividad Comercial;¿Cómo se denomina el sistema que permite al personal de Renfe contrastar billetes de otros operadores para el AJC?;Copérnico.;Siver.;SerTren.;Hermes.;0;Acuerdo AJC (Justificante)
Actividad Comercial;¿Qué tipo de tarjeta Más Renfe permite el acceso a Salas Club (con billete válido)?;Solo Platino.;Oro y Platino.;Plata (con 4 accesos), Oro y Platino.;Todas las tarjetas Más Renfe.;2;Programa Más Renfe (Anexo 1 / Facsímil)
Actividad Comercial;¿En qué formato de billete se emite AVLO en terminales SerTren?;Formato ATB.;Papel térmico.;Formato ISO.;Solo digital.;1;Normativa Comercial AVLO (Formatos)
Actividad Comercial;¿Quién ostenta la patria potestad para autorizar el uso de puntos a un menor en la Tarjeta Más Renfe?;El Centro de Servicios Más Renfe.;El Maquinista del tren.;El padre, madre o tutor legal.;Cualquier persona mayor de edad.;2;Programa Más Renfe (Condiciones)
Actividad Comercial;¿Qué porcentaje de puntos obtiene un titular Platino en AVE, LD y Avant?;3%.;5%.;8%.;10%.;3;Programa Más Renfe (Anexo 1)
Actividad Comercial;¿Se admite el cambio de titularidad en un billete AVLO?;Sí, abonando 10 euros.;No se admite el cambio de titularidad.;Sí, de forma gratuita hasta 24h antes.;Solo para familiares de primer grado.;1;Normativa Comercial AVLO (Facsímil Billete)
Actividad Comercial;"¿Qué plazo tiene el viajero para utilizar un billete gratuito obtenido por ""Devolución Exprés""?";15 días.;30 días naturales.;90 días.;6 meses.;1;Condiciones Posventa (T.E. 1 III.3.1)
Actividad Comercial;¿En qué canal es exclusivo obtener el código descuento con incremento del 50% por retraso?;Taquillas.;Teléfono.;renfe.com.;App Renfe.;2;Condiciones Posventa (T.E. 1 III.3.1)
Actividad Comercial;¿Cuál es el tiempo de validez para la compra del billete tras obtener el código descuento por retraso?;1 mes.;3 meses.;6 meses.;1 año.;2;Condiciones Posventa (T.E. 1 III.3.1)
Actividad Comercial;¿Qué indemnización corresponde por un retraso de 46 minutos en un tren Regional Exprés?;25%.;50%.;100%.;Ninguna.;1;Condiciones Posventa (T.E. 1 III.3.1)
Actividad Comercial;¿Y si el retraso es de 61 minutos en ese mismo tren Regional Exprés?;25%.;50%.;100%.;75%.;2;Condiciones Posventa (T.E. 1 III.3.1)
Actividad Comercial;"¿A partir de qué edad se considera ""Senior"" en la compra del Spain Rail Pass?";55 años.;60 años.;65 años.;67 años.;1;Spain Rail Pass (Procedimiento)
Actividad Comercial;¿Cuál es el límite máximo de personas por cada título de transporte colectivo?;No hay límite.;El número que quepa en un coche.;El número de personas que viajen en un mismo trayecto y fecha.;Máximo 25 personas.;2;Título III, Capítulo 1
Actividad Comercial;¿Qué significa que un título de transporte sea oneroso?;Que es gratuito.;Que tiene un coste o precio.;Que solo es válido para días festivos.;Que se ha pagado exclusivamente con puntos.;1;Título Preliminar / Conceptos Generales
Actividad Comercial;¿Cuál es la forma jurídica de Renfe Viajeros?;Ente Público.;Sociedad Mercantil Estatal, S.A.;Organismo Autónomo.;Cooperativa de servicios.;1;Título Preliminar
Actividad Comercial;¿Qué sucede si hay una deficiencia de climatización parcial (carencia) en un AVE?;Devolución 100%.;Devolución 50%.;Devolución 10%.;No tiene indemnización.;1;Condiciones Posventa (Servicios Comerciales Diurnos)
Actividad Comercial;¿Cuál es el máximo de maletas de cabina adicionales que se pueden contratar en AVLO?;Una maleta adicional.;Dos maletas adicionales.;Sin límite según cupo.;No se permiten maletas adicionales.;0;Normativa Comercial AVLO (Facsímil)
Actividad Comercial;¿Qué precio tiene contratar una maleta extra en AVLO en el momento de la compra del billete?;10 euros.;15 euros.;20 euros.;30 euros.;0;Normativa Comercial AVLO (Facsímil)
Actividad Comercial;¿Y si se contrata en la estación con menos de 30 minutos antes de la salida?;15 euros.;20 euros.;30 euros.;No es posible contratarlo.;2;Normativa Comercial AVLO (Facsímil)
Actividad Comercial;¿Qué documento identifica a los niños menores de 14 años en el control de acceso si no tienen DNI?;Carné escolar.;Libro de Familia.;Certificado de nacimiento original.;Tarjeta sanitaria.;1;Normativa Comercial AVLO (Control de Acceso)
Actividad Comercial;¿Qué porcentaje de puntos se obtiene al comprar un billete AVLO con tarjeta Más Renfe?;5%.;8%.;Se obtienen puntos (el PDF indica que se obtienen pero no fija un % dinámico como en AVE).;No se obtienen puntos en AVLO.;2;Programa Más Renfe (Anexo 1)
Actividad Comercial;¿Cuál es el código VISIR para el Abono Único Joven (Renfe)?;970.;971.;972.;973.;2;Abono Único (Resumen Títulos)
Actividad Comercial;¿En qué año se fundó la Red Nacional de los Ferrocarriles Españoles (según el bloque de Igualdad/Historia)?;1921.;1941.;1975.;2005.;1;II Plan de Igualdad (2.1 Grupo Renfe)
Actividad Comercial;Según el criterio de rebase de tramos por segundos, ¿qué indemnización corresponde a un viajero de AVE con un retraso de 90 minutos y 01 segundos?;25%;50%;75%;100%;3;Condiciones Posventa (T.E. 1 III.3.1 / Ejemplo Retrasos)
Actividad Comercial;¿Qué ocurre si un titular de Tarjeta Más Renfe Oro alcanza un consumo de 7.000 € a los 6 meses de tener la tarjeta?;Pasa automáticamente al nivel Platino.;Debe permanecer obligatoriamente en el nivel Oro hasta completar el año de validez.;Se le devuelven los 1.000 € sobrantes en Puntos Renfe.;Sube a nivel Platino pero sin derecho a Salas Club durante 6 meses.;1;Programa de Fidelización Más Renfe (Tarjeta Oro)
Actividad Comercial;En los viajes de grupo AVLO de más de 90 personas, ¿cuántos billetes de garantía se emiten?;4 billetes.;5 billetes.;El 5% del total de las plazas.;El 10% del total de las plazas.;2;Normativa Comercial AVLO (Viajes en Grupo)
Actividad Comercial;¿Cuál es la indemnización por la carencia de restauración en plaza en la opción Premium de un tren AVE?;10%;20%;50%;100%;1;Condiciones Posventa (Servicios Diurnos - Tabla)
Actividad Comercial;Si un cliente con Abono Único no viaja ni cancela su reserva con la antelación requerida en 3 ocasiones, ¿qué consecuencia tiene?;Pago de una multa de 100 €.;Bloqueo de la tarjeta de crédito asociada durante un mes.;Anulación del abono sin reintegro y prohibición de obtener uno nuevo en 60 días.;Pérdida de todos los Puntos Renfe acumulados ese año.;2;Abono Único (Formalización o Validación)
Actividad Comercial;"Para el cálculo de reembolsos en un ""Bonotrén"" de Cercanías, ¿por qué número se debe dividir el precio del título?";Por 10.;Por 40.;Por 50.;Por 100.;0;Condiciones Posventa (Títulos Multiviaje Cercanías)
Actividad Comercial;¿Qué porcentaje de puntos obtiene un titular de tarjeta Más Renfe Plata por sus viajes en trenes Avant?;3%;4%;5%;8%;1;Programa de Fidelización Más Renfe (Anexo 1)
Actividad Comercial;En el acuerdo AJC, ¿qué tiempo mínimo de conexión se exige si el cambio es entre estaciones diferentes de la misma localidad?;30 minutos.;45 minutos.;60 minutos.;90 minutos.;1;Acuerdo AJC (Emisión del Justificante)
Actividad Comercial;¿Qué indemnización corresponde por un fallo de climatización reparado durante el viaje en un tren AVLO?;10%;25%;50%;100%;2;Normativa Comercial AVLO (Indemnizaciones por deficiencias)
Actividad Comercial;¿Cuál es la base de cálculo para una indemnización en el producto Spain Pass?;El importe del pase dividido por el número de viajes escogidos.;El precio de la Tarifa General del tren afectado.;El 50% del valor facial del último billete formalizado.;El importe total del pase menos el 15% de gastos de gestión.;0;Condiciones Posventa (Renfe Spain Pass)
Actividad Comercial;"Según el Glosario del II Plan de Igualdad, ¿cómo se define ""Techo de Cemento""?";Barrera invisible que limita el ascenso laboral de las mujeres.;Límites que tienen las mujeres para crecer por falta de referentes o modelos de mujer.;Diferencia salarial en trabajos feminizados.;Falta de acceso de las mujeres a las tecnologías STEM.;1;II Plan de Igualdad (Anexo: Glosario)
Actividad Comercial;En servicios Avant, ¿cuál es el descuento de la Tarjeta Dorada de lunes a jueves?;25%;40%;50%;10%;1;Tarjeta Dorada (Resumen Normativa)
Actividad Comercial;¿Qué plazo máximo tiene el viajero para solicitar el abono de una indemnización por retraso en Puntos Renfe?;1 mes.;3 meses.;6 meses.;1 año.;1;Condiciones Posventa (T.E. 1 III.3.1)
Actividad Comercial;¿Qué incremento sobre la indemnización se aplica si el cliente elige el código descuento para el próximo viaje (en servicios comerciales)?;25%;50%;75%;100%;1;Condiciones Posventa (T.E. 1 III.3.1)
Actividad Comercial;En el servicio de menores sin acompañante, ¿con qué antelación deben presentarse el menor y el adulto en el Check-in?;45 minutos.;30 minutos.;15 minutos.;5 minutos.;2;Viaje de menores sin acompañante (Acogida de menores)
Actividad Comercial;¿Cuál es la indemnización por ausencia de aseos en un tren de Larga Distancia por cambio de material?;25%;50%;75%;100%;3;Condiciones Posventa (Servicios Diurnos - Tabla)
Actividad Comercial;"¿Qué porcentaje del precio del transporte se deduce en una anulación de billete con opción ""Elige Estándar"" sin complementos extra?";0%;15%;30%;100%;2;Cambios y Anulaciones (Atributos - Tabla)
Actividad Comercial;¿Qué sistema se utiliza para contrastar la validez de los trenes y justificantes en el acuerdo AJC?;Hermes.;Siver.;Copérnico.;PlayRenfe.;2;Acuerdo AJC (Justificante)
Actividad Comercial;¿A qué distancia se mide el ancho de vía por debajo del plano de rodadura?;10 mm.;14 mm.;15 mm.;20 mm.;1;Conocimientos Básicos Ferroviarios (Vía)
Actividad Comercial;En el cálculo del NPS, ¿cómo se clasifican los clientes que puntúan con un 7 o un 8?;Promotores.;Detractores.;Pasivos o Neutrales.;No computan en la muestra.;2;Experiencia de Cliente (Indicadores - NPS)
Actividad Comercial;¿Qué sanción económica se aplica por acceder sin título a un tren Avant?;100 €;200 €;300 €;500 €;1;Condiciones Generales (Penalizaciones)
Actividad Comercial;¿Qué reducción se aplica a las penalizaciones por acceso indebido si se pagan en un plazo inferior a 30 días naturales?;25%;30%;50%;60%;2;Condiciones Generales (Penalizaciones)
Actividad Comercial;¿Cuál de estos servicios Avant está EXCLUIDO de la bonificación del 50% del RDL 17/2025?;Madrid - Puertollano.;Madrid - Salamanca.;Madrid - Cuenca.;Madrid - Valladolid.;1;Abono Pase Vía (Exclusiones Bonificación)
Actividad Comercial;¿Cuál es el número máximo de puntos que se pueden canjear por un vale descuento en el programa Más Renfe?;500 puntos.;1.000 puntos.;2.000 puntos.;No hay límite.;1;Programa de Fidelización Más Renfe (Canje de puntos)
Actividad Comercial;¿Qué validez tiene el vale descuento obtenido mediante el canje de Puntos Renfe?;1 mes.;3 meses.;6 meses.;1 año.;1;Programa de Fidelización Más Renfe (Canje de puntos)
